"SRO ID", "@when", "Date"
"SRO1265", "1595-03-10", "xo die Marcij. /."
"SRO1266", "1595-03-10", "xo die Marcij. /."
"SRO1267", "1595-03-10", "xo die Marcij. /."
"SRO1268", "1595-03-14", "xiiijto die Marcij. /"
"SRO1269", "1595-03-14", "xiiijto die Marcij. /"
"SRO1270", "1595-03-17", "xvij marcij 1595"
"SRO1271", "1595-03-17", "xvij marcij 1595"
"SRO1272", "1595-03-19", "19 marcij"
"SRO1273", "1595-03-22", "xxij marcij"
"SRO1274", "1595-03-24", "xxiiijto marcij"
"SRO1275", "1595-03-26", "xxvjto marcij 1595"
"SRO1276", "1595-03-26", "xxvjto marcij 1595"
"SRO1277", "1595-03-29", "xxixo die Marcij"
"SRO1278", "1595-04-01", "primo die Aprilis"
"SRO1279", "1595-04-02", "Secundo die Aprilis"
"SRO1280", "1600-06-03", "3rd June 1600"
"SRO1280", "1595-04-02", "Secundo die Aprilis"
"SRO1281", "1595-04-05", "vto die Aprilis 1595"
"SRO1282", "1595-04-05", "vto die Aprilis 1595"
"SRO1283", "1595-04-05", "vto die Aprilis 1595"
"SRO1284", "1595-04-12", "xijo die Aprilis"
"SRO1285", "1595-04-12", "xijo die Aprilis"
"SRO1286", "1595-04-12", "xijo die Aprilis"
"SRO1287", "1595-04-12", "xijo die Aprilis"
"SRO1288", "1595-04-16", "xvjto die Aprilis. /."
"SRO1289", "1595-04-16", "xvjto die Aprilis. /."
"SRO1290", "1595-04-18", "xviijo die Aprilis. /"
"SRO1291", "1595-04-19", "xixo die Aprilis. / 1595"
"SRO1292", "1595-04-24", "24to Aprilis"
"SRO1293", "1595-04-28", "28 Aprilis"
"SRO1294", "1595-04-28", "28 Aprilis"
"SRO1295", "1595-05-02", "ijdo die Ap Maij"
"SRO1296", "1595-05-04", "iiijo Die Maij"
"SRO1297", "1595-05-08", "8 Maij"
"SRO1298", "1595-05-10", "10 maij 1595"
"SRO1299", "1595-05-10", "10 maij 1595"
"SRO1300", "1595-05-10", "10 maij 1595"
"SRO1301", "1595-05-18", "18 Maij. /."
"SRO1302", "1595-05-20", "xxo die maij"
"SRO1303", "1595-05-21", "xxjo die Maij. /."
"SRO1304", "1595-05-21", "xxjo die Maij. /."
"SRO1305", "1595-05-23", "xxiijo die Maij"
"SRO1306", "1595-05-26", "xxvjto Maij 1595"
"SRO1307", "1595-05-26", "xxvjto Maij 1595"
"SRO1308", "1595-05-29", "xxixo die Maij"
"SRO1309", "1595-06-01", "1 Junij"
"SRO1310", "1595-06-01", "1 Junij"
"SRO1311", "1595-06-05", "5to Junij"
"SRO1312", "1595-06-05", "5to Junij"
"SRO1313", "1595-06-11", "xjo die Junij 1595"
"SRO1314", "1595-06-14", "xiiijto die Junij"
"SRO1315", "1595-06-16", "xvjto die Junij"
"SRO1316", "1595-06-25", "25 Junij 1595"
"SRO1317", "1595-06-25", "25 Junij 1595"
"SRO1318", "1595-06-25", "25 Junij 1595"
"SRO1319", "1576-07-17", "xvijo die Julij 1576."
"SRO1320", "1576-07-17", "xvijo die Julij 1576."
"SRO1321", "1576-07-17", "xvijo die Julij 1576."
"SRO1322", "1576-07-26", "xxvjto die Julij 1576."
"SRO1323", "1576-07-26", "xxvjto die Julij 1576."
"SRO1324", "1576-08-06", "vjto Die Augusti 1576"
"SRO1325", "1576-08-06", "vjto Die Augusti 1576"
"SRO1326", "1576-08-06", "vjto die Augusti 1576."
"SRO1327", "1576-08-06", "vjto die Augusti 1576."
"SRO1328", "1576-08-13", "xiijo Die Augusti 1576."
"SRO1329", "1576-08-13", "xiijo Die Augusti 1576."
"SRO1330", "1576-08-23", "xxiijo die Augusti 1576."
"SRO1331", "1576-08-24", "xxiiijto Die Augusti 1576."
"SRO1332", "1576-09-03", "iijo die Septembris 1576."
"SRO1333", "1576-09-24", "xxiiijto die Septembris"
"SRO1334", "1576-09-24", "xxiiijto die Septembris"
"SRO1335", "1576-09-24", "xxiiijto die Septembris. 1576"
"SRO1336", "1576-10-01", "primo Die Octobris 1576."
"SRO1337", "1576-10-01", "primo Die Octobris 1576."
"SRO1338", "1576-10-15", "xvto Die Octobris 1576."
"SRO1339", "1576-10-15", "xvto Die Octobris 1576."
