"SRO ID", "@when", "@notBefore", "@notAfter", "Date"
"SRO3705", "1595-11-20", "", "", "20 Novembris./."
"SRO3706", "1595-11-24", "", "", "xxiiijto Novembris"
"SRO3707", "1595-11-26", "", "", "xxvj Novembris"
"SRO3708", "1595-11-27", "", "", "xxvij November 1595"
"SRO3709", "1595-11-28", "", "", "xxviijo die Novembris"
"SRO3710", "1595-11-28", "", "", "xxviijo die Novembris"
"SRO3711", "1595-11-28", "", "", "xxviijo die Novembris"
"SRO3712", "1595-12-01", "", "", "j die Decembris"
"SRO3713", "1595-12-01", "", "", "primo die decembris"
"SRO3714", "1595-12-01", "", "", "primo die decembris"
"SRO3715", "1595-12-07", "", "", "vijo die Decembris./. 1595"
"SRO3716", "1595-12-09", "", "", "ixo die Decembris./."
"SRO3717", "1595-12-17", "", "", "17 Decembris"
"SRO3718", "1595-12-17", "", "", "17 Decembris"
"SRO3719", "1595-12-22", "", "", "xxijo die Decembris./."
"SRO3720", "1595-12-30", "", "", "xxxo die Decembris./ 1595"
"SRO3721", "1595-12-30", "", "", "xxxo die Decembris./ 1595"
"SRO3722", "1596-01-03", "", "", "3 Januarij 1596"
"SRO3723", "1596-01-05", "", "", "5to Januarij./."
"SRO3724", "1596-01-05", "", "", "5to Januarij./."
"SRO3725", "1596-01-08", "", "", "8 die Januarij"
"SRO3726", "1596-01-19", "", "", "19 Januarij"
"SRO3727", "1596-01-19", "", "", "19 Januarij"
"SRO3728", "1596-01-19", "", "", "19 Januarij"
"SRO3729", "1596-01-20", "", "", "20o die Januarij./. 1596"
"SRO3730", "1596-01-20", "", "", "20o die Januarij./. 1596"
"SRO3731", "1596-01-20", "", "", "20o die Januarij./. 1596"
"SRO3732", "1596-01-23", "", "", "23. Januarij /"
"SRO3733", "1596-01-28", "", "", "28 Januarij"
"SRO3734", "1596-02-03", "", "", "3 Februarij 1596"
"SRO3735", "1596-02-03", "", "", "3 Februarij 1596"
"SRO3736", "1596-02-09", "", "", "9 Februarij"
"SRO3737", "1596-02-09", "", "", "9 Februarij"
"SRO3738", "1596-02-13", "", "", ".13. februarij"
"SRO3739", "1596-02-16", "", "", "16 Februarij"
"SRO3740", "1596-02-17", "", "", "17 Februarij./. 1596"
"SRO3741", "1596-02-23", "", "", "23o die Februarij"
"SRO3742", "1596-02-27", "", "", "27o die Februarij./."
"SRO3743", "1596-03-01", "", "", "primo martij"
"SRO3744", "1596-03-01", "", "", "primo martij"
"SRO3745", "1596-03-01", "", "", "primo martij"
"SRO3746", "1596-03-02", "", "", "Secundo die Marcij./. 1596"
"SRO3747", "1596-03-05", "", "", "5to marcij"
"SRO3748", "1596-03-12", "", "", "12o Marcij 1596"
"SRO3749", "1596-03-12", "", "", "12o Marcij 1596"
"SRO3750", "1596-03-15", "", "", "xvto marcij"
"SRO3751", "1596-03-17", "", "", "17o die Marcij"
"SRO3752", "1596-03-29", "", "", "29o die Marcij./."
"SRO3753", "1596-03-30", "", "", "xxxo die marcij 1596"
"SRO3754", "1596-04-05", "", "", "5to Aprilis"
"SRO3755", "1596-04-05", "", "", "5to Aprilis"
"SRO3756", "1596-04-05", "", "", "5to Aprilis"
"SRO3757", "1596-04-05", "", "", "5 Aprilis"
"SRO3758", "1596-04-05", "", "", "5 Aprilis"
"SRO3759", "1596-04-05", "", "", "5 Aprilis"
"SRO3760", "1596-04-13", "", "", "13 Aprilis 1596"
"SRO3761", "1596-04-15", "", "", "15to die Aprilis./."
"SRO3762", "1596-04-19", "", "", "19 aprilis"
"SRO3763", "1596-04-20", "", "", "20 Aprilis"
"SRO3764", "1596-04-30", "", "", "Vltimo die Aprilis 1596"
"SRO3765", "1596-04-30", "", "", "Vltimo die Aprilis 1596"
"SRO3766", "1596-04-30", "", "", "Vltimo die Aprilis 1596"
"SRO3767", "1596-06-02", "", "", "Secundo die Junij./."
"SRO3768", "1596-06-04", "", "", "4to. Junij./"
"SRO3769", "1596-06-09", "", "", "ix Junij 1596"
"SRO3770", "1596-06-25", "", "", "25 Junij"
"SRO3771", "1596-06-30", "", "", "vltimo Junij"
"SRO3772", "1596-07-03", "", "", "3 Julij"
"SRO3773", "1596-07-05", "", "", "5to Julij 1596"
"SRO3774", "1596-07-15", "", "", "15 Julij"
"SRO3775", "1596-07-21", "", "", "21 Julij 1596"
"SRO3776", "1596-07-21", "", "", "21 Julij 1596"
"SRO3777", "1596-08-02", "", "", "2 Augusti"
"SRO3778", "1596-08-05", "", "", "vto die Augusti"
"SRO3779", "1596-08-09", "", "", "9 Augusti 1596"
"SRO3780", "1596-08-09", "", "", "9 Augusti 1596"
"SRO3781", "1596-08-09", "", "", "9 Augusti 1596"
"SRO3782", "1596-08-23", "", "", "xxiijo Augusti"
"SRO3783", "--08-27", "", "", "xxvijo die Augusti./. 1596"
"SRO3784", "1596-08-27", "", "", "xxvijo die Augusti./. 1596"
"SRO3785", "1596-08-31", "", "", "vltimo Augusti"
"SRO3786", "1596-08-31", "", "", "vltimo Augusti"
"SRO3787", "1596-09-01", "", "", "Primo die Septembris./."
"SRO3788", "1596-09-06", "", "", "6 Septembris"
"SRO3789", "1596-09-06", "", "", "6 Septembris"
"SRO3790", "1596-09-06", "", "", "6 Septembris"
"SRO3791", "1596-09-11", "", "", "xj Septembris 1596"
"SRO3792", "1596-09-22", "", "", "xxijo Septembris"
"SRO3793", "1596-10-05", "", "", "5 octobris 1596"
"SRO3794", "1596-10-05", "", "", "5 octobris 1596"
"SRO3795", "1596-10-05", "", "", "5 octobris 1596"
"SRO3796", "1596-10-05", "", "", "5 octobris 1596"
"SRO3797", "1596-10-05", "", "", "5 octobris 1596"
"SRO3798", "1596-10-05", "", "", "5 octobris 1596"
"SRO3799", "1596-10-09", "", "", "ixo die Octobris./"
"SRO3800", "1596-10-15", "", "", "xvto Die Octobris./. 1596"
"SRO3801", "1596-10-19", "", "", "19 octobris"
"SRO3802", "1596-10-19", "", "", "19 octobris"
"SRO3803", "1596-10-20", "", "", "20 octobris"
"SRO3804", "1596-10-20", "", "", "20 octobris"
"SRO3805", "1596-10-26", "", "", "26 Octobris"
"SRO3806", "1596-10-26", "", "", "26 Octobris"
"SRO3807", "1596-10-30", "", "", "xxxo die Octobris./. 1596"
"SRO3808", "1596-10-30", "", "", "xxxo die Octobris./. 1596"
"SRO3809", "1596-11-08", "", "", "8 novembris"
"SRO3810", "1596-11-11", "", "", "11 Novembris"
"SRO3811", "1596-11-15", "", "", "xvto novembris"
"SRO3812", "1596-11-21", "", "", "xxjo Die Novembris 1596"
"SRO3813", "1596-11-21", "", "", "xxjo Die Novembris 1596"
"SRO3814", "1596-11-24", "", "", "24. novembris"
"SRO3815", "1596-11-24", "", "", "24. novembris"
"SRO3816", "1596-11-26", "", "", "26 novembris"
"SRO3817", "1596-11-27", "", "", "27 novembris 1596"
"SRO3818", "1596-11-29", "", "", "29 Novembris./."
"SRO3819", "1596-11-29", "", "", "29 novembris"
"SRO3820", "1596-12-06", "", "", "6. Decembris 1596"
"SRO3821", "1596-12-06", "", "", "6. Decembris /"
"SRO3822", "1596-12-06", "", "", "6. Decembris /"
"SRO3823", "1596-12-15", "", "", "15 Decembris 1596"
"SRO3824", "1596-12-18", "", "", "18 decembris"
"SRO3825", "1597-01-03", "", "", "3 Januarij 1596"
"SRO3826", "1597-01-03", "", "", "3 Januarij 1596"
"SRO3827", "1597-01-17", "", "", "17 Januarij"
"SRO3828", "1597-01-18", "", "", "18. Januarij"
"SRO3829", "1597-01-21", "", "", "21 Januarij 1597"
"SRO3830", "1597-01-23", "", "", "23o Januarij"
"SRO3831", "1597-01-23", "", "", "23o Januarij"
"SRO3832", "1597-01-24", "", "", "xxiiijto die Januarij./."
"SRO3833", "1597-01-26", "", "", "26 Januarij"
"SRO3834", "1597-01-29", "", "", "29 Januarij 1597"
"SRO3835", "1597-01-29", "", "", "29 Januarij 1597"
"SRO3836", "1597-02-05", "", "", "5to februarij"
"SRO3837", "1597-02-05", "", "", "5to februarij"
"SRO3838", "1597-02-07", "", "", "7 februarij"
"SRO3839", "1597-02-07", "", "", "7 februarij"
"SRO3840", "1597-02-07", "", "", "7 februarij"
"SRO3841", "1597-02-07", "", "", "7 februarij"
"SRO3842", "1597-02-16", "", "", "xvjto die Februarij 1597"
"SRO3843", "1597-03-07", "", "", "7 marcij"
"SRO3844", "1597-03-07", "", "", "7 marcij"
"SRO3845", "1597-03-07", "", "", "7 marcij"
"SRO3846", "1597-03-17", "", "", "17 Marcij 1597"
"SRO3847", "1597-03-22", "", "", "22 marcij"
"SRO3848", "1597-03", "", "", "vltimo die marcij./."
"SRO3849", "1597-04-05", "", "", "vto Aprilis 1597"
"SRO3850", "1597-04-12", "", "", "12 Aprilis"
"SRO3851", "1597-04-12", "", "", "12 Aprilis"
"SRO3852", "--04-20", "", "", "xxo Aprilis"
"SRO3853", "1597-04-21", "", "", "xxj Aprilis 1597"
"SRO3854", "1597-04-21", "", "", "xxj Aprilis 1597"
"SRO3855", "1597-04-21", "", "", "xxj Aprilis 1597"
"SRO3856", "1597-04-28", "", "", "28 Aprilis"
"SRO3857", "1597-05-02", "", "", "ijdo Maij"
"SRO3858", "1597-05-02", "", "", "ijdo Maij"
"SRO3859", "1597-05-11", "", "", "xjo die maij"
"SRO3860", "1597-05-25", "", "", "25. maij"
"SRO3861", "1597-06-06", "", "", "vjto Junij./."
"SRO3862", "1597-06-06", "", "", "vjto Junij"
"SRO3863", "1597-06-06", "", "", "vjto Junij"
"SRO3864", "1597-06-06", "", "", "vjto Junij"
"SRO3865", "1597-06-10", "", "", "10o die Junij./ 1597"
"SRO3866", "1597-06-16", "", "", "xvjto die Junij./."
"SRO3867", "1597-06-21", "", "", "21 Junij"
"SRO3868", "", "1597-06-21", "1597-07-03", "21 June–3 July 1597"
"SRO3869", "1597-07-03", "", "", "3 Julij 1597"
"SRO3870", "", "1597-07-03", "1597-07-04", "3–4 July 1597."
"SRO3871", "1597-07-04", "", "", "4 Julij./. 1597"
"SRO3872", "1597-07-08", "", "", "8 Julij] 1597"
"SRO3873", "1597-07-09", "", "", "9o die Julij./."
"SRO3874", "1597-07-09", "", "", "9o die Julij 1597"
"SRO3875", "1597-07-11", "", "", "11o Julij"
"SRO3876", "1597-08", "", "", "j Augusti 1597"
"SRO3877", "1597-08-02", "", "", "2 Augusti"
"SRO3878", "1597-08-15", "", "", "15 Augusti"
"SRO3879", "1597-08-22", "", "", "22 Augusti"
"SRO3880", "1597-08-22", "", "", "22 Augusti"
"SRO3881", "1597-08-22", "", "", "22 Augusti"
"SRO3882", "1597-08-26", "", "", "26 Augusti 1597"
"SRO3883", "1597-08-29", "", "", "29o Augusti./."
"SRO3884", "1597-08-29", "", "", "29o Augusti./."
"SRO3885", "1597-09-02", "", "", "2 Septembris"
"SRO3886", "1597-09-05", "", "", "5 Septembris"
"SRO3887", "1597-09-07", "", "", "7o Septembris./. 1597"
"SRO3888", "1597-09-23", "", "", "23 Septembris"
"SRO3889", "1597-09-24", "", "", "24. Septembris"
"SRO3890", "1597-09-26", "", "", "xxvjto die Septembris"
"SRO3891", "1597-09-26", "", "", "xxvjto die Septembris"
"SRO3892", "1597-09-26", "", "", "xxvjto die Septembris"
"SRO3893", "1597-09-28", "", "", "xxviijo die Septembris 1597"
"SRO3894", "1597-09-30", "", "", "xxxo die Septembris"
"SRO3895", "1597-10-06", "", "", "6 octobris"
"SRO3896", "1597-10-07", "", "", "7 Octobris"
"SRO3897", "1597-10-10", "", "", "10 Octobris 1597"
"SRO3898", "1597-10-11", "", "", "11 Octobris"
"SRO3899", "1597-10-12", "", "", "12o die Octobris./."
"SRO3900", "1597-10-14", "", "", "xiiijto die Octobris 1597"
"SRO3901", "1597-10-15", "", "", "15. octobris"
"SRO3902", "1597-10-19", "", "", "19o Octobris 1597"
"SRO3903", "1697-10-20", "", "", "20 Octobris"
"SRO3904", "1597-10-22", "", "", "22o Octobris./."
"SRO3905", "1597-10-26", "", "", "xxvjto Octobris"
"SRO3906", "1597-10-31", "", "", "vltimo die Octobris 1597"
"SRO3907", "1597-10-31", "", "", "vltimo octobris"
"SRO3908", "1597-10-31", "", "", "vltimo octobris"
"SRO3909", "1597-10-31", "", "", "vltimo die Octobris"
"SRO3910", "1597-10-31", "", "", "vltimo die Octobris"
"SRO3911", "1597-11-07", "", "", "7 novembris 1597"
"SRO3912", "1597-11-07", "", "", "7 novembris 1597"
"SRO3913", "1597-10-07", "", "", "7 octobris or rather novembris"
"SRO3914", "1597-10-07", "", "", "7 octobris or rather novembris"
"SRO3915", "1597-10-10", "", "", "xo die Octobris or rather Novembris 1597"
"SRO3916", "1597-11-12", "", "", "12 Die Novembris"
"SRO3917", "--11-14", "", "", "14to Die Novembris"
"SRO3918", "1597-11-14", "", "", "14to die Novembris./"
"SRO3919", "1597-11-18", "", "", "xviijo die Novembris 1597"
"SRO3920", "1597-11-18", "", "", "xviijo die Novembris 1597"
"SRO3921", "1597-11-21", "", "", "21 novembris"
"SRO3922", "1597-11-21", "", "", "21 novembris"
"SRO3923", "1597-11-22", "", "", "xxijo Novembris"
"SRO3924", "1597-11-30", "", "", "vltimo novembris 1597"
"SRO3925", "1597-12-05", "", "", "vto die Decembris"
"SRO3926", "1597-12-13", "", "", "13 Decembris"
"SRO3927", "1597-12-16", "", "", "16. Decembris"
"SRO3928", "1597-12-17", "", "", "17 Decembris"
"SRO3929", "1597-12-19", "", "", "19 Decembris 1597"
"SRO3930", "1597-12-23", "", "", "23 Decembris"
"SRO3931", "1598-01-05", "", "", "vto Januarij"
"SRO3932", "1598-01-05", "", "", "vto Januarij"
"SRO3933", "1598-01-09", "", "", "9 Januarij 1598"
"SRO3934", "1598-01-13", "", "", "13 Januarij"
"SRO3935", "1598-01-14", "", "", "14 Januarij"
"SRO3936", "1598-01-16", "", "", "16 Januarij"
"SRO3937", "1598-01-16", "", "", "16 Januarij"
"SRO3938", "1598-01-23", "", "", "23. Januarij 1598"
"SRO3939", "1598-01-23", "", "", "23. Januarij 1598"
"SRO3940", "1598-01-25", "", "", "25to Januarij"
"SRO3941", "1598-01-27", "", "", "xxvij Januarij"
"SRO3942", "1598-02-03", "", "", "iijo Februarij 1598"
"SRO3943", "1598-02-03", "", "", "iijo Februarij 1598"
"SRO3944", "1598-02-07", "", "", "vijo die Februarij"
"SRO3945", "1598-02-09", "", "", "ixo die Februarij./. 1598"
"SRO3946", "1598-02-13", "", "", "13 Februarij"
"SRO3947", "1598-02-13", "", "", "13 Februarij"
"SRO3948", "1598-02-17", "", "", "17 Februarij 1598"
"SRO3949", "1598-02-17", "", "", "17 Februarij 1598"
"SRO3951", "1598-02-25", "", "", "xxvto die Februarij"
"SRO3952", "1598-03-02", "", "", "2 marcij"
"SRO3953", "1598-03-04", "", "", "4to die Marcij./."
"SRO3954", "1598-03-06", "", "", ".6. Marcij. 1598"
"SRO3955", "1598-03-07", "", "", ".7. Marcij."
"SRO3957", "1598-03-16", "", "", "16 Marcij 1597 i. e. 1598"
"SRO3958", "1598-03-16", "", "", "16 Marcij 1597 i. e. 1598"
"SRO3959", "1598-03-17", "", "", "17 marcij./."
"SRO3960", "1598-03-17", "", "", "17 marcij./."
"SRO3961", "1598-03-17", "", "", "17 marcij./."
"SRO3962", "1598-03-18", "", "", "xviijo marcij 1598"
"SRO3965", "1598-03-18", "", "", "18 Marcij"
"SRO3966", "1598-03-18", "", "", "18 Marcij"
"SRO3967", "1598-03-21", "", "", "21 marcij 1598"
"SRO3968", "1598-03-28", "", "", "28. Marcij"
"SRO3969", "1598-03-28", "", "", "28 marcij"
"SRO3970", "1598-03-30", "", "", "30 Marcij 1598"
"SRO3971", "1598-03-30", "", "", "30 Marcij 1598"
"SRO3972", "1598-03-31", "", "", "Vltimo die marcij"
"SRO3973", "1598-04-01", "", "", "j Aprilis"
"SRO3974", "1598-04-03", "", "", "3 Aprilis"
"SRO3975", "1598-04-08", "", "", "8 Aprilis 1598"
"SRO3976", "1598-04-10", "", "", "10o die Aprilis"
"SRO3977", "1598-04-11", "", "", "11o die Aprilis"
"SRO3978", "1598-04-14", "", "", "xiiijto Aprilis"
"SRO3979", "1598-04-14", "", "", "xiiijto Aprilis"
"SRO3980", "1598-04-14", "", "", "xiiijto Aprilis 1598"
"SRO3981", "1598-04-15", "", "", "15to die Aprilis"
"SRO3982", "1598-04-15", "", "", "15to die Aprilis"
"SRO3983", "1598-04-21", "", "", "21o Aprilis 1598"
"SRO3984", "1598-04-21", "", "", "21o Aprilis 1598"
"SRO3985", "1598-04-21", "", "", "xxj Aprilis"
"SRO3986", "1598-04-24", "", "", "24 Aprilis 1598"
"SRO3987", "1598-04-26", "", "", "26. Aprilis"
"SRO3988", "1598-04-28", "", "", "28 Aprilis./."
"SRO3989", "1598-05-03", "", "", "iijo Maij"
"SRO3990", "1598-05-03", "", "", "iijo Maij"
"SRO3991", "1598-05-06", "", "", "vjto maij./. 1598"
"SRO3992", "1598-05-13", "", "", ".13. maij"
"SRO3993", "1598-05-13", "", "", ".13. maij"
"SRO3994", "1598-05-13", "", "", "13 maij"
"SRO3995", "1598-05-15", "", "", "15 maij 1598"
"SRO3996", "1598-05-15", "", "", "15 maij 1598"
"SRO3997", "1598-05-20", "", "", "20 maij"
"SRO3998", "1598-05-20", "", "", "20 maij"
"SRO3999", "1598-05-22", "", "", "22 maij"
"SRO4000", "1598-05-22", "", "", "22 maij"
"SRO4001", "1598-05-26", "", "", "xxvjto die Maij 1598"
"SRO4002", "1598-05-27", "", "", "27 maij"
"SRO4003", "1598-05-27", "", "", "27 maij"
"SRO4004", "1598-06-03", "", "", "3 Junij"
"SRO4005", "1598-06-07", "", "", "7 Junij 1598"
"SRO4006", "1598-06-08", "", "", "8. Junij"
"SRO4007", "1598-06-13", "", "", "13 Junij"
"SRO4008", "1598-06-13", "", "", "xiijo Junij"
"SRO4009", "1598-06-13", "", "", "xiijo Junij"
"SRO4010", "1598-06-16", "", "", "xvjto die Junij./ 1598"
"SRO4011", "1598-06-22", "", "", "xxijo die Junij"
"SRO4012", "1598-06-26", "", "", "26 Junij 1598"
"SRO4013", "1598-06-26", "", "", "26 Junij 1598"
"SRO4014", "1598-06-26", "", "", "26 Junij 1598"
"SRO4015", "1598-06-26", "", "", "xxvjto Junij 1598"
"SRO4016", "1598-07-07", "", "", "7 Julij"
"SRO4017", "1598-07-12", "", "", "12 Julij 1598"
"SRO4018", "1598-07-12", "", "", "12 Julij 1598"
"SRO4019", "1598-07-22", "", "", "xxijo Julij"
"SRO4020", "1598-07-22", "", "", "xxijo Julij"
"SRO4021", "1598-08-07", "", "", "7 Augusti 1598"
"SRO4022", "1598-08-07", "", "", "7 Augusti"
"SRO4023", "1598-08-07", "", "", "7 Augusti"
"SRO4024", "1598-08-14", "", "", "14 Augusti 1598"
"SRO4025", "1598-08-15", "", "", "15 Augusti"
"SRO4026", "", "1598-08-15", "1598-08-19", "15–19 August 1598"
"SRO4027", "1598-08-19", "", "", "xixo Augusti 1598"
"SRO4028", "1598-08-21", "", "", "xxj Augusti"
"SRO4029", "1598-08-30", "", "", "xxxo Augusti"
"SRO4030", "1598-09-07", "", "", "vijo Septembris 1598"
"SRO4031", "1598-09-07", "", "", "vijo Septembris 1598"
"SRO4032", "1598-09-08", "", "", ".8. Septembris"
"SRO4033", "1598-09-09", "", "", "9o Septembris."
"SRO4034", "1598-09-11", "", "", "11 Septembris 1598"
"SRO4035", "1598-09-15", "", "", "15o Septembris"
"SRO4036", "1598-09-15", "", "", "15o Septembris"
"SRO4037", "1598-08-01", "", "", "primo Augusti./"
"SRO4038", "1598-10-05", "", "", "vto Octobris"
"SRO4039", "1598-10-05", "", "", "vto Octobris 1598"
"SRO4040", "1598-10-07", "", "", "7 Octobris"
"SRO4041", "1598-10-07", "", "", "7 Octobris"
"SRO4042", "1598-10-07", "", "", "vijo Octobris"
"SRO4043", "1598-10-17", "", "", "17 Octobris 1598"
"SRO4044", "1598-10-23", "", "", "23 octobris"
"SRO4045", "1598-10-24", "", "", "24. Octobris"
"SRO4046", "1598-10-25", "", "", "25to octobris 1598"
"SRO4047", "1598-10-25", "", "", "25to octobris 1598"
"SRO4048", "1598-10-26", "", "", "26 octobris"
"SRO4049", "1598-10-28", "", "", "28. Octobris"
"SRO4050", "1598-11-02", "", "", "2. novembris 1598"
"SRO4051", "1598-11-02", "", "", "2. novembris 1598"
"SRO4052", "1598-11-06", "", "", ".6. Novembris"
"SRO4053", "1598-11-06", "", "", "6 novembris"
"SRO4054", "1598-11-07", "", "", "7 Octonovembris 1598"
"SRO4055", "1598-11-11", "", "", "11. novembris"
"SRO4056", "1598-11-13", "", "", "13 novembris"
"SRO4057", "1598-11-25", "", "", "25 Novembris"
"SRO4058", "1598-11-27", "", "", "27 Novembris"
"SRO4059", "1598-12-05", "", "", "5to NovembrDecembris 1598"
"SRO4060", "1598-12-06", "", "", ".6. Decembris"
"SRO4061", "1598-12-08", "", "", "8 Decembris"
"SRO4062", "1598-12-11", "", "", "11 decembris"
"SRO4063", "1598-12-11", "", "", "11 decembris"
"SRO4064", "1598-12-12", "", "", "12 decembris"
"SRO4065", "1598-12-13", "", "", "13 decembris 1598"
"SRO4066", "1598-12-16", "", "", ".16. Decembris"
"SRO4067", "1599-01-07", "", "", "7 Januarij 1599"
"SRO4068", "1599-01-09", "", "", "9 Januarij"
"SRO4069", "1599-01-09", "", "", "9 Januarij"
"SRO4070", "1599-01-09", "", "", "9 Januarij"
"SRO4071", "1599-01-11", "", "", "11 Januarij 1599"
"SRO4072", "1599-01-11", "", "", "11 Januarij 1599"
"SRO4073", "1599-01-15", "", "", "15 Januarij 1599"
"SRO4074", "1599-01-15", "", "", "15 Januarij 1599"
"SRO4075", "1599-01-15", "", "", "15 Januarij 1599"
"SRO4076", "1599-01-15", "", "", "15 Januarij 1599"
"SRO4077", "1599-01-18", "", "", "18 Januarij"
"SRO4078", "1599-01-18", "", "", "18 Januarij"
"SRO4079", "1599-01-18", "", "", "18 Januarij"
"SRO4080", "1599-01-23", "", "", "23. Januarij 1599"
"SRO4081", "1599-01-26", "", "", "26 Januarij"
"SRO4082", "1599-01-27", "", "", "27 Januarij"
"SRO4083", "1599-01-30", "", "", "30 Januarij 1599"
"SRO4084", "1599-01-30", "", "", "30 Januarij 1599"
"SRO4085", "1599-02-01", "", "", "1 februarij"
"SRO4086", "1599-02-05", "", "", "5 februarij"
"SRO4087", "", "1599-02-05", "1599-02-09", "1598.i. e. 5–9 February 1599"
"SRO4088", "1599-02-09", "", "", "9 februarij 1599"
"SRO4089", "1599-02-09", "", "", "9 februarij 1599"
"SRO4090", "1599-02-09", "", "", "9 februarij 1599"
"SRO4091", "1599-02-19", "", "", "19 februarij"
"SRO4092", "1599-02-19", "", "", "19 februarij"
"SRO4093", "1599-02-19", "", "", "19 februarij"
"SRO4094", "1599-02-22", "", "", "22 februarij 1599"
"SRO4095", "1599-02-22", "", "", "22 februarij 1599"
"SRO4096", "1599-03-05", "", "", "vto martij"
"SRO4097", "1599-03-05", "", "", "vto martij"
"SRO4098", "1599-03-05", "", "", "vto martij"
"SRO4099", "1599-03-06", "", "", "6 Marcij 1599"
"SRO4100", "1599-03-06", "", "", "6 Marcij 1599"
"SRO4101", "1599-03-12", "", "", "12 marcij"
"SRO4102", "1599-03-12", "", "", "12 marcij"
"SRO4103", "1599-03-26", "", "", "26 marcij 1599"
"SRO4104", "1599-03-29", "", "", "29. marcij"
"SRO4105", "1599-03-31", "", "", "Vltimo die marcij"
