"SRO ID", "@when", "@notBefore", "@notAfter", "Date"
"SRO3635", "", "1596-08-09", "1603-04-28", "09 August 1596-28 April 1603."
"SRO3636", "1603-04-25", "", "", "25 Aprilis 1603"
"SRO3637", "1603-04-28", "", "", "28 Aprilis 1603"
"SRO3638", "1603-04-18", "", "", "15 Aprilis 1603"
"SRO3639", "1603-04-18", "", "", "16 Aprilis 1603"
"SRO3640", "1603-04-16", "", "", "16 aprilis 1603"
"SRO3641", "1603-04-16", "", "", "16 aprilis 1603"
"SRO3642", "1603-05-12", "", "", "12 maij 1603"
"SRO3643", "1603-05-18", "", "", "18 maij 1603"
"SRO3644", "1603-05", "", "", "vltimo maij 1603"
"SRO3645", "1603-05", "", "", "vltimo maij 1603"
"SRO3646", "1600-05-27", "", "", "27 may 1600"
"SRO3647", "1600-08-04", "", "", "4. Augusti 1600"
"SRO3648", "--06-23", "", "", "23 Junij / 1603"
"SRO3649", "--06-23", "", "", "23 Junij / 1603"
"SRO3650", "1603-07-02", "", "", "2 Julij 1603"
"SRO3651", "1606-03-06", "", "", "1605 i. e. 1606 Marche 22"
"SRO3652", "1614-02-21", "", "", "21 Februarij 1614 i.e.1615"
"SRO3654", "1595-07-04", "", "", "Quarto die Julij"
"SRO3655", "1595-07-10", "", "", "Sexto die Julij"
"SRO3656", "1595-07-17", "", "", "xvijo die Julij./. 1595"
"SRO3657", "1595-07-17", "", "", "xvij die Julij"
"SRO3658", "1595-07-24", "", "", "xxiiijto die Julij"
"SRO3659", "1595-07-24", "", "", "xxiiijto die Julij"
"SRO3660", "1595-07-29", "", "", "xxixo die Julij./"
"SRO3661", "1595-07-30", "", "", "xxxo die Julij./. 1595"
"SRO3662", "1595-08-01", "", "", "1 Augusti"
"SRO3663", "1595-08-09", "", "", "9 Augusti"
"SRO3664", "1595-08-12", "", "", "xijo die Augusti"
"SRO3665", "1595-08-13", "", "", "xiijo die Augusti /"
"SRO3666", "1595-08-21", "", "", "xxj Augusti 1595"
"SRO3667", "1595-08-26", "", "", "xxvj Auguste"
"SRO3668", "1595-08-26", "", "", "xxvj Auguste"
"SRO3669", "1595-08-26", "", "", "xxvj Auguste"
"SRO3670", "1595-08-26", "", "", "xxvj Auguste"
"SRO3671", "", "1595-08-26", "1595-09-01", "26 August–01 September 1595."
"SRO3672", "1595-09-01", "", "", "primo Septembris"
"SRO3673", "1595-09-09", "", "", "ix die Septembris / 1595"
"SRO3674", "1595-09-20", "", "", "xxo die Septembris"
"SRO3675", "1595-09-20", "", "", "xxo die Septembris"
"SRO3676", "1595-09-22", "", "", "xxij die Septembris./."
"SRO3677", "1595-09-27", "", "", "xxvij Septembris"
"SRO3678", "1595-09-27", "", "", "xxvij Septembris"
"SRO3679", "1595-10-06", "", "", "6. Octobris 1595"
"SRO3680", "1595-10-06", "", "", "6. Octobris 1595"
"SRO3681", "1595-10-12", "", "", "xij of October"
"SRO3682", "1595-10-14", "", "", "xiiij of October"
"SRO3683", "1595-10-15", "", "", "xvto die Octobris./."
"SRO3684", "1595-10-15", "", "", "xvto die Octobris./."
"SRO3685", "1595-10-15", "", "", "xvto die Octobris./."
"SRO3686", "1595-10-17", "", "", "xvij of October"
"SRO3687", "1595-10-20", "", "", "20 of October 1595"
"SRO3688", "1595-10-21", "", "", "21 Octobris"
"SRO3689", "1595-10-25", "", "", "xxvto die octobris"
"SRO3690", "1595-10-28", "", "", "28. octobris"
"SRO3691", "1595-10-30", "", "", "30 octobris 1595"
"SRO3692", "1595-10-30", "", "", "30 octobris 1595"
"SRO3693", "1595-10-30", "", "", "xxxo die Octobris"
"SRO3694", "1595-10-30", "", "", "xxxo die Octobris"
"SRO3695", "1595-11-03", "", "", "3 novembris 1595"
"SRO3696", "1595-11-12", "", "", "12 Novembris"
"SRO3697", "1595-11-12", "", "", "12 Novembris"
"SRO3698", "1595-11-12", "", "", "12 Novembris"
"SRO3699", "1595-11-14", "", "", "14 novembris"
"SRO3700", "1595-11-15", "", "", "15 novembris"
"SRO3701", "1595-11-15", "", "", "15 novembris"
"SRO3702", "1595-11-18", "", "", "18 Novembris 1595"
"SRO3703", "1595-11-19", "", "", "19 novembris."
"SRO3704", "1595-11-20", "", "", "20 Novembris./."
