"SRO ID", "@when", "Date"
"SRO42ab", "1560-11-30", "xxx of novembre1560"
"SRO42ac", "1560-11-30", "xxx of novembre1560"
"SRO42ad", "1560-11-30", "xxx of novembre 1560"
"SRO42ae", "1560-10-30", "xxx of octobre 1560"
"SRO42af", "1560-10-30", "xxx of octobre 1560"
"SRO42ag", "1560-10-30", "xxx of octobre 1560"
"SRO42ah", "", "4 October 1560–8 March 1561."
"SRO42ai", "1560-10-30", "xxx of octobre 1560"
"SRO42aj", "", "4 October 1560–8 March 1561."
"SRO42ak", "", "4 October 1560–8 March 1561."
"SRO42al", "", "4 October 1560–8 March 1561."
"SRO42am", "", "4 October 1560–8 March 1561."
"SRO42an", "", "4 October 1560–8 March 1561."
"SRO42ao", "", "4 October 1560–8 March 1561."
"SRO42ap", "", "4 October 1560–8 March 1561."
"SRO42aq", "", "4 October 1560–8 March 1561."
"SRO42ar", "", "4 October 1560–8 March 1561."
"SRO43", "", "4 October 1560–8 March 1561."
"SRO44", "", "4 October 1560–8 March 1561."
"SRO45", "", "4 October 1560–8 March 1561."
"SRO46", "", "4 October 1560–8 March 1561."
"SRO47", "", "4 October 1560–8 March 1561."
"SRO48", "", "4 October 1560–8 March 1561."
"SRO49", "", "4 October 1560–8 March 1561."
"SRO50", "", "4 October 1560–8 March 1561."
"SRO51", "", "4 October 1560–8 March 1561."
"SRO52", "", "4 October 1560–8 March 1561."
"SRO53", "1561-03-08", "viij of marche1561"
"SRO53a", "", "7 July 1560–8 July 1561."
"SRO53ab", "", "7 July 1560–8 July 1561."
"SRO53ac", "1561-04-14", "xiiij Daye of aprill 1561"
"SRO53ad", "1561-05-11", "xj of maye 1561"
"SRO53ae", "1561-05-11", "xj of maye 1561"
"SRO53af", "1561-05-11", "xj of maye 1561"
"SRO53ag", "", "7 July 1560–8 July 1561."
"SRO53ah", "", "7 July 1560–8 July 1561."
"SRO54", "", "7 July 1560–8 July 1561."
"SRO54a", "1561-05-11", "xj of maye 1561"
"SRO54b", "", "7 July 1560–8 July 1561."
"SRO54c", "", "7 July 1560–8 July 1561."
"SRO54d", "1561-06-11", "xj of June 1561"
"SRO54e", "1561-06-24", "xxiiij Daye of June 1561"
"SRO54f", "", "7 July 1560–8 July 1561."
"SRO54g", "", "7 July 1560–8 July 1561."
"SRO54h", "", "7 July 1560–8 July 1561."
"SRO54i", "", "7 July 1560–8 July 1561."
"SRO54j", "", "7 July 1560–8 July 1561."
"SRO54k", "", "7 July 1560–8 July 1561."
"SRO54l", "", "7 July 1560–8 July 1561."
"SRO54m", "", "7 July 1560–8 July 1561."
"SRO55", "", "22 July 1561–24 July 1562."
"SRO56", "", "22 July 1561–24 July 1562."
"SRO57", "", "22 July 1561–24 July 1562."
"SRO58", "", "22 July 1561–24 July 1562."
"SRO59", "", "22 July 1561–24 July 1562."
"SRO60", "", "22 July 1561–24 July 1562."
"SRO61", "", "22 July 1561–24 July 1562."
"SRO62", "", "22 July 1561–24 July 1562."
"SRO63", "", "22 July 1561–24 July 1562."
"SRO64", "", "22 July 1561–24 July 1562."
"SRO65", "", "22 July 1561–24 July 1562."
"SRO66", "", "22 July 1561–24 July 1562."
"SRO67", "", "22 July 1561–24 July 1562."
"SRO68", "", "22 July 1561–24 July 1562."
"SRO69", "", "22 July 1561–24 July 1562."
"SRO70", "", "22 July 1561–24 July 1562."
"SRO71", "", "22 July 1561–24 July 1562."
"SRO72", "", "22 July 1561–24 July 1562."
"SRO73", "", "22 July 1561–24 July 1562."
"SRO74", "", "22 July 1561–24 July 1562."
"SRO75", "", "22 July 1561–24 July 1562."
"SRO76", "", "22 July 1561–24 July 1562."
"SRO77", "", "22 July 1561–24 July 1562."
"SRO78", "", "22 July 1561–24 July 1562."
"SRO79", "", "22 July 1561–24 July 1562."
"SRO80", "", "22 July 1561–24 July 1562."
"SRO81", "", "22 July 1561–24 July 1562."
"SRO82", "", "22 July 1561–24 July 1562."
"SRO83", "", "22 July 1561–24 July 1562."
"SRO83a", "", "22 July 1561–24 July 1562."
"SRO84", "", "22 July 1561–24 July 1562."
"SRO85", "", "22 July 1561–24 July 1562."
"SRO86", "", "22 July 1561–24 July 1562."
"SRO87", "", "22 July 1561–24 July 1562."
"SRO88", "", "22 July 1561–24 July 1562."
"SRO89", "", "22 July 1561–24 July 1562."
"SRO90", "", "22 July 1561–24 July 1562."
"SRO91", "", "22 July 1561–24 July 1562."
"SRO92", "", "22 July 1561–24 July 1562."
"SRO93", "", "22 July 1561–24 July 1562."
"SRO94", "", "22 July 1561–24 July 1562."
"SRO95", "", "22 July 1561–24 July 1562."
"SRO96", "", "22 July 1561–24 July 1562."
"SRO97", "", "22 July 1561–24 July 1562."
"SRO98", "", "22 July 1561–24 July 1562."
"SRO99", "", "22 July 1561–24 July 1562."
"SRO99a", "", "22 July 1561–24 July 1562."
"SRO100", "", "22 July 1561–24 July 1562."
"SRO101", "", "22 July 1561–24 July 1562."
"SRO102", "", "22 July 1561–24 July 1562."
"SRO103", "", "22 July 1561–24 July 1562."
"SRO104", "", "22 July 1561–24 July 1562."
"SRO105", "", "22 July 1561–24 July 1562."
"SRO106", "", "22 July 1561–24 July 1562."
"SRO107", "", "22 July 1561–24 July 1562."
"SRO108", "", "22 July 1561–24 July 1562."
"SRO109", "", "22 July 1561–24 July 1562."
"SRO110", "", "22 July 1561–24 July 1562."
"SRO111", "", "22 July 1561–24 July 1562."
"SRO112", "", "22 July 1561–24 July 1562."
"SRO113", "", "22 July 1561–24 July 1562."
"SRO114", "", "22 July 1561–24 July 1562."
"SRO115", "", "22 July 1561–24 July 1562."
"SRO116", "", "22 July 1561–24 July 1562."
"SRO117", "", "22 July 1561–24 July 1562."
"SRO118", "", "22 July 1561–24 July 1562."
"SRO119", "", "22 July 1561–24 July 1562."
"SRO120", "", "22 July 1561–24 July 1562."
"SRO121", "", "22 July 1561–24 July 1562."
"SRO122", "", "22 July 1561–24 July 1562."
"SRO123", "", "22 July 1561–24 July 1562."
"SRO124", "", "22 July 1561–24 July 1562."
"SRO124a", "", "22 July 1561–24 July 1562."
"SRO124b", "", "22 July 1561–24 July 1562."
"SRO124c", "", "22 July 1561–24 July 1562."
"SRO124d", "", "22 July 1561–24 July 1562."
"SRO124e", "", "22 July 1561–24 July 1562."
"SRO124f", "", "22 July 1561–24 July 1562."
"SRO124g", "", "22 July 1561–24 July 1562."
"SRO124h", "", "22 July 1561–24 July 1562."
"SRO125", "", "22 July 1561–24 July 1562."
"SRO126", "", "22 July 1561–24 July 1562."
"SRO127", "", "22 July 1561–24 July 1562."
"SRO128", "", "22 July 1562–22 July 1563."
"SRO129", "", "22 July 1562–22 July 1563."
"SRO130", "", "22 July 1562–22 July 1563."
"SRO131", "", "22 July 1562–22 July 1563."
"SRO132", "", "22 July 1562–22 July 1563."
"SRO133", "", "22 July 1562–22 July 1563."
"SRO134", "", "22 July 1562–22 July 1563."
"SRO135", "", "22 July 1562–22 July 1563."
"SRO136", "", "22 July 1562–22 July 1563."
"SRO137", "", "22 July 1562–22 July 1563."
"SRO138", "", "22 July 1562–22 July 1563."
"SRO139", "", "22 July 1562–22 July 1563."
"SRO140", "", "22 July 1562–22 July 1563."
"SRO141", "", "22 July 1562–22 July 1563."
"SRO142", "", "22 July 1562–22 July 1563."
"SRO143", "", "22 July 1562–22 July 1563."
"SRO144", "", "22 July 1562–22 July 1563."
"SRO145", "", "22 July 1562–22 July 1563."
"SRO145a", "", "22 July 1562–22 July 1563."
"SRO146", "", "22 July 1562–22 July 1563."
"SRO147", "", "22 July 1562–22 July 1563."
"SRO148", "", "22 July 1562–22 July 1563."
"SRO149", "", "22 July 1562–22 July 1563."
"SRO150", "", "22 July 1562–22 July 1563."
"SRO151", "", "22 July 1562–22 July 1563."
"SRO152", "", "22 July 1562–22 July 1563."
"SRO153", "", "22 July 1562–22 July 1563."
"SRO154", "", "22 July 1562–22 July 1563."
"SRO155", "", "22 July 1562–22 July 1563."
"SRO156", "", "22 July 1562–22 July 1563."
"SRO157", "", "22 July 1562–22 July 1563."
"SRO158", "", "22 July 1562–22 July 1563."
"SRO159", "", "22 July 1562–22 July 1563."
"SRO160", "", "22 July 1562–22 July 1563."
"SRO161", "", "22 July 1562–22 July 1563."
"SRO162", "", "22 July 1562–22 July 1563."
"SRO163", "", "22 July 1562–22 July 1563."
"SRO164", "", "22 July 1562–22 July 1563."
"SRO165", "", "22 July 1562–22 July 1563."
"SRO166", "", "22 July 1562–22 July 1563."
"SRO167", "", "22 July 1562–22 July 1563."
"SRO168", "", "22 July 1562–22 July 1563."
"SRO169", "", "22 July 1562–22 July 1563."
"SRO170", "", "22 July 1562–22 July 1563."
"SRO171", "", "22 July 1562–22 July 1563."
"SRO172", "", "22 July 1562–22 July 1563."
"SRO173", "", "22 July 1562–22 July 1563."
"SRO174", "", "22 July 1562–22 July 1563."
"SRO175", "", "22 July 1562–22 July 1563."
"SRO176", "", "22 July 1562–22 July 1563."
"SRO177", "", "22 July 1562–22 July 1563."
"SRO178", "", "22 July 1562–22 July 1563."
"SRO179", "", "22 July 1562–22 July 1563."
"SRO180", "", "22 July 1562–22 July 1563."
"SRO181", "", "22 July 1562–22 July 1563."
"SRO182", "", "22 July 1562–22 July 1563."
"SRO183", "", "22 July 1562–22 July 1563."
"SRO184", "", "22 July 1562–22 July 1563."
"SRO185", "", "22 July 1562–22 July 1563."
"SRO186", "", "22 July 1562–22 July 1563."
"SRO187", "", "22 July 1562–22 July 1563."
"SRO188", "", "22 July 1562–22 July 1563."
"SRO189", "", "22 July 1562–22 July 1563."
"SRO190", "", "22 July 1562–22 July 1563."
"SRO191", "", "22 July 1562–22 July 1563."
"SRO192", "", "22 July 1562–22 July 1563."
"SRO193", "", "22 July 1562–22 July 1563."
"SRO194", "", "22 July 1562–22 July 1563."
"SRO195", "", "22 July 1562–22 July 1563."
"SRO196", "", "22 July 1562–22 July 1563."
"SRO197", "", "22 July 1562–22 July 1563."
"SRO198", "", "22 July 1562–22 July 1563."
"SRO199", "", "22 July 1562–22 July 1563."
"SRO200", "", "22 July 1562–22 July 1563."
"SRO201", "", "22 July 1562–22 July 1563."
"SRO202", "", "22 July 1562–22 July 1563."
"SRO203", "", "22 July 1562–22 July 1563."
"SRO204", "", "22 July 1562–22 July 1563."
"SRO205", "", "22 July 1562–22 July 1563."
"SRO206", "", "22 July 1562–22 July 1563."
"SRO207", "", "22 July 1562–22 July 1563."
"SRO208", "", "22 July 1562–22 July 1563."
"SRO209", "", "22 July 1562–22 July 1563."
"SRO210", "", "22 July 1562–22 July 1563."
"SRO211", "", "22 July 1562–22 July 1563."
"SRO212", "", "22 July 1562–22 July 1563."
"SRO213", "", "22 July 1562–22 July 1563."
"SRO214", "", "22 July 1562–22 July 1563."
"SRO215", "", "22 July 1562–22 July 1563."
"SRO216", "", "22 July 1562–22 July 1563."
"SRO217", "", "22 July 1562–22 July 1563."
"SRO218", "", "22 July 1562–22 July 1563."
"SRO219", "", "22 July 1562–22 July 1563."
"SRO220", "", "22 July 1562–22 July 1563."
"SRO221", "", "22 July 1562–22 July 1563."
"SRO222", "", "22 July 1562–22 July 1563."
"SRO223", "", "22 July 1562–22 July 1563."
"SRO224", "", "22 July 1562–22 July 1563."
"SRO225", "", "22 July 1562–22 July 1563."
"SRO226", "", "22 July 1562–22 July 1563."
"SRO227", "", "22 July 1562–22 July 1563."
"SRO228", "", "22 July 1562–22 July 1563."
"SRO229", "", "22 July 1562–22 July 1563."
"SRO230", "", "22 July 1562–22 July 1563."
"SRO231", "", "22 July 1562–22 July 1563."
"SRO232", "", "22 July 1562–22 July 1563."
"SRO234", "", "22 July 1562–22 July 1563."
"SRO235", "", "22 July 1562–22 July 1563."
"SRO236", "", "22 July 1562–22 July 1563."
"SRO237", "", "22 July 1562–22 July 1563."
"SRO238", "", "22 July 1562–22 July 1563."
"SRO239", "", "22 July 1562–22 July 1563."
"SRO240", "", "22 July 1562–22 July 1563."
"SRO241", "", "22 July 1562–22 July 1563."
"SRO242", "", "22 July 1562–22 July 1563."
"SRO243", "", "22 July 1562–22 July 1563."
"SRO244", "", "22 July 1562–22 July 1563."
"SRO245", "", "22 July 1562–22 July 1563."
"SRO246", "", "22 July 1562–22 July 1563."
"SRO247", "", "22 July 1562–22 July 1563."
"SRO248", "", "22 July 1562–22 July 1563."
"SRO249", "", "22 July 1562–22 July 1563."
"SRO250", "", "22 July 1562–22 July 1563."
"SRO251", "", "22 July 1562–22 July 1563."
"SRO252", "", "22 July 1563–22 July 1564."
"SRO253", "", "22 July 1563–22 July 1564."
"SRO254", "", "22 July 1563–22 July 1564."
"SRO255", "", "22 July 1563–22 July 1564."
"SRO256", "", "22 July 1563–22 July 1564."
"SRO257", "", "22 July 1563–22 July 1564."
"SRO258", "", "22 July 1563–22 July 1564."
"SRO259", "", "22 July 1563–22 July 1564."
"SRO260", "", "22 July 1563–22 July 1564."
"SRO261", "", "22 July 1563–22 July 1564."
"SRO262", "", "22 July 1563–22 July 1564."
"SRO263", "", "22 July 1563–22 July 1564."
"SRO264", "", "22 July 1563–22 July 1564."
"SRO265", "", "22 July 1563–22 July 1564."
"SRO266", "", "22 July 1563–22 July 1564."
"SRO267", "", "22 July 1563–22 July 1564."
"SRO268", "", "22 July 1563–22 July 1564."
"SRO269", "", "22 July 1563–22 July 1564."
"SRO270", "", "22 July 1563–22 July 1564."
"SRO271", "", "22 July 1563–22 July 1564."
"SRO272", "", "22 July 1563–22 July 1564."
"SRO273", "", "22 July 1563–22 July 1564."
"SRO274", "", "22 July 1563–22 July 1564."
"SRO275", "", "22 July 1563–22 July 1564."
"SRO276", "", "22 July 1563–22 July 1564."
"SRO277", "", "22 July 1563–22 July 1564."
"SRO278", "", "22 July 1563–22 July 1564."
"SRO279", "", "22 July 1563–22 July 1564."
"SRO280", "", "22 July 1563–22 July 1564."
"SRO281", "", "22 July 1563–22 July 1564."
"SRO282", "", "22 July 1563–22 July 1564."
"SRO283", "", "22 July 1563–22 July 1564."
"SRO284", "", "22 July 1563–22 July 1564."
"SRO285", "", "22 July 1563–22 July 1564."
"SRO286", "", "22 July 1563–22 July 1564."
"SRO287", "", "22 July 1563–22 July 1564."
"SRO288", "", "22 July 1563–22 July 1564."
"SRO289", "", "22 July 1563–22 July 1564."
"SRO290", "", "22 July 1563–22 July 1564."
"SRO291", "", "22 July 1563–22 July 1564."
"SRO292", "", "22 July 1563–22 July 1564."
"SRO293", "", "22 July 1563–22 July 1564."
"SRO294", "", "22 July 1563–22 July 1564."
"SRO295", "", "22 July 1563–22 July 1564."
"SRO296", "", "22 July 1563–22 July 1564."
"SRO297", "", "22 July 1563–22 July 1564."
"SRO298", "", "22 July 1563–22 July 1564."
"SRO299", "", "22 July 1563–22 July 1564."
"SRO300", "", "22 July 1563–22 July 1564."
"SRO301", "", "22 July 1563–22 July 1564."
"SRO302", "", "22 July 1563–22 July 1564."
"SRO303", "", "22 July 1563–22 July 1564."
"SRO304", "", "22 July 1563–22 July 1564."
"SRO305", "", "22 July 1563–22 July 1564."
"SRO306", "", "22 July 1563–22 July 1564."
"SRO307", "", "22 July 1563–22 July 1564."
"SRO308", "", "22 July 1563–22 July 1564."
"SRO309", "", "22 July 1563–22 July 1564."
"SRO310", "", "22 July 1563–22 July 1564."
"SRO311", "", "22 July 1563–22 July 1564."
"SRO312", "", "22 July 1563–22 July 1564."
"SRO313", "", "22 July 1564–04 September 1564."
"SRO314", "", "22 July 1564–04 September 1564."
"SRO315", "", "22 July 1564–04 September 1564."
"SRO316", "", "22 July 1564–04 September 1564."
"SRO317", "", "22 July 1564–04 September 1564."
"SRO318", "", "22 July 1564–04 September 1564."
"SRO319", "", "22 July 1564–04 September 1564."
"SRO320", "", "22 July 1564–04 September 1564."
"SRO321", "", "22 July 1564–04 September 1564."
"SRO322", "", "22 July 1564–04 September 1564."
"SRO323", "", "22 July 1564–04 September 1564."
"SRO324", "", "22 July 1564–04 September 1564."
"SRO325", "", "22 July 1564–04 September 1564."
"SRO326", "", "22 July 1564–04 September 1564."
"SRO327", "", "22 July 1564–04 September 1564."
"SRO328", "", "22 July 1564–04 September 1564."
"SRO329", "", "22 July 1564–04 September 1564."
"SRO330", "", "22 July 1564–04 September 1564."
"SRO331", "", "22 July 1564–04 September 1564."
"SRO331a", "1564-09-04", "The iiijth Daye of septembre 1564"
"SRO332", "", "04 September 1564–27 October 1564."
"SRO333", "", "04 September 1564–27 October 1564."
"SRO334", "", "04 September 1564–27 October 1564."
"SRO335", "", "04 September 1564–27 October 1564."
"SRO336", "", "04 September 1564–27 October 1564."
"SRO337", "", "04 September 1564–27 October 1564."
"SRO338", "", "04 September 1564–27 October 1564."
"SRO339", "", "04 September 1564–27 October 1564."
"SRO340", "", "04 September 1564–27 October 1564."
"SRO341", "", "04 September 1564–27 October 1564."
"SRO342", "", "04 September 1564–27 October 1564."
"SRO343", "", "04 September 1564–27 October 1564."
"SRO344", "", "04 September 1564–27 October 1564."
"SRO345", "", "04 September 1564–27 October 1564."
"SRO346", "", "04 September 1564–27 October 1564."
"SRO347", "", "04 September 1564–27 October 1564."
"SRO348", "", "04 September 1564–27 October 1564."
"SRO349", "", "04 September 1564–27 October 1564."
"SRO350", "", "04 September 1564–27 October 1564."
"SRO351", "", "04 September 1564–27 October 1564."
"SRO352", "", "04 September 1564–27 October 1564."
"SRO353", "", "04 September 1564–27 October 1564."
"SRO354", "", "04 September 1564–27 October 1564."
"SRO355", "1564-10-27", "xxvij Daye of octobre anno 1564"
"SRO356", "", "27 October 1564–22 July 1565."
"SRO357", "", "27 October 1564–22 July 1565."
"SRO358", "", "27 October 1564–22 July 1565."
"SRO359", "", "27 October 1564–22 July 1565."
"SRO360", "", "27 October 1564–22 July 1565."
"SRO361", "", "27 October 1564–22 July 1565."
"SRO362", "", "27 October 1564–22 July 1565."
"SRO363", "", "27 October 1564–22 July 1565."
"SRO364", "", "27 October 1564–22 July 1565."
"SRO365", "", "27 October 1564–22 July 1565."
"SRO366", "", "27 October 1564–22 July 1565."
"SRO367", "", "27 October 1564–22 July 1565."
"SRO368", "", "27 October 1564–22 July 1565."
"SRO369", "", "27 October 1564–22 July 1565."
"SRO370", "", "27 October 1564–22 July 1565."
"SRO371", "", "27 October 1564–22 July 1565."
"SRO372", "", "27 October 1564–22 July 1565."
"SRO373", "", "27 October 1564–22 July 1565."
"SRO374", "", "27 October 1564–22 July 1565."
"SRO375", "", "27 October 1564–22 July 1565."
"SRO376", "", "27 October 1564–22 July 1565."
"SRO377", "", "07 March 1564–21 April 1565."
"SRO378", "", "07 March 1564–21 April 1565."
"SRO379", "", "07 March 1564–21 April 1565."
"SRO380", "", "07 March 1564–21 April 1565."
"SRO381", "", "07 March 1564–21 April 1565."
"SRO382", "", "07 March 1564–21 April 1565."
"SRO383", "", "07 March 1564–21 April 1565."
"SRO384", "", "07 March 1564–21 April 1565."
"SRO385", "", "07 March 1564–21 April 1565."
"SRO386", "", "07 March 1564–21 April 1565."
"SRO387", "", "07 March 1564–21 April 1565."
"SRO389", "", "07 March 1564–21 April 1565."
"SRO390", "", "07 March 1564–21 April 1565."
"SRO391", "", "07 March 1564–21 April 1565."
"SRO392", "", "07 March 1564–21 April 1565."
"SRO393", "", "07 March 1564–21 April 1565."
"SRO394", "", "07 March 1564–21 April 1565."
"SRO395", "", "07 March 1564–21 April 1565."
"SRO396", "", "07 March 1564–21 April 1565."
"SRO397", "", "07 March 1564–21 April 1565."
"SRO398", "", "07 March 1564–21 April 1565."
"SRO399", "", "07 March 1564–21 April 1565."
"SRO400", "", "07 March 1564–21 April 1565."
"SRO401", "", "07 March 1564–21 April 1565."
"SRO402", "", "07 March 1564–21 April 1565."
"SRO403", "", "07 March 1564–21 April 1565."
"SRO404", "", "07 March 1564–21 April 1565."
"SRO405", "", "22 July 1565–22 July 1566."
"SRO406", "", "22 July 1565–22 July 1566."
"SRO407", "", "22 July 1565–22 July 1566."
"SRO408", "", "22 July 1565–22 July 1566."
"SRO409", "", "22 July 1565–22 July 1566."
"SRO410", "", "22 July 1565–22 July 1566."
"SRO411", "", "22 July 1565–22 July 1566."
"SRO412", "", "22 July 1565–22 July 1566."
"SRO413", "", "22 July 1565–22 July 1566."
"SRO414", "", "22 July 1565–22 July 1566."
"SRO415", "", "22 July 1565–22 July 1566."
"SRO416", "", "22 July 1565–22 July 1566."
"SRO417", "", "22 July 1565–22 July 1566."
"SRO418", "", "22 July 1565–22 July 1566."
"SRO419", "", "22 July 1565–22 July 1566."
"SRO420", "", "22 July 1565–22 July 1566."
"SRO421", "", "22 July 1565–22 July 1566."
"SRO422", "", "22 July 1565–22 July 1566."
"SRO423", "", "22 July 1565–22 July 1566."
"SRO424", "", "22 July 1565–22 July 1566."
"SRO425", "", "22 July 1565–22 July 1566."
"SRO426", "", "22 July 1565–22 July 1566."
"SRO427", "", "22 July 1565–22 July 1566."
"SRO428", "", "22 July 1565–22 July 1566."
"SRO429", "", "22 July 1565–22 July 1566."
"SRO430", "", "22 July 1565–22 July 1566."
